,precision,recall,f1-score,support
Caries,0.9259259259259259,0.9803921568627451,0.9523809523809523,204.0
Gingivitis,0.9791666666666666,0.9215686274509803,0.9494949494949495,204.0
accuracy,0.9509803921568627,0.9509803921568627,0.9509803921568627,0.9509803921568627
macro avg,0.9525462962962963,0.9509803921568627,0.950937950937951,408.0
weighted avg,0.9525462962962964,0.9509803921568627,0.9509379509379509,408.0
